document_title,abstract,year,link,label
Adaptive protection setting and coordination for power distribution systems,In this paper; a protection system using a Multi-Agent concept for power distribution networks is proposed. Every digital over current relay (OCR) is developed as an agent by adding its own intelligence; self-tuning and communication ability. In order to cope with frequent changes in the network operation condition and faults; an OCR agent; suggested in this paper; is able to detect a fault or a change in the network and find its optimal parameters of the protection relays in an autonomous manner considering information of the whole network obtained by communication between other agents. Simulations in a simple distribution network show the effectiveness of the suggested scheme.,2006,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5372371,no
Semantic reliability of multi-agent intelligent systems,Generally the concept of reliability has been interpreted as applied to hardware and software and has been based upon the assumption that a system can be decomposed into subsystems or components to which success or failure probabilities can be assigned assuming perfect semantic transactions between them; i.e.; with no consideration to variation in the interpretation of the meanings of messages between various components. In multi-agent intelligent systems; where the agents interact with each other in capacities other than merely sending and receiving messages; cooperative decisions are made based upon beliefs; desires; intentions; and the autonomy of individual agents. In such cases; even if the components as well as the interconnections are error-free in the classical sense; there can be serious failures due to semantic variability and consequently the concept of reliability needs to be extended to semantics as well. This paper attempts to establish this new concept of semantic reliability and explore its relationship to the system reliability and information extraction processes. Here we examine the communication between agents and semantic error modes in multi-agent systems using Rao and Georgeff's belief-desire-intention (BDI) model of intelligent agents to decompose the semantic variation into its contributing parts from various subsystems comprising the agents. From this; the impact and the risk management strategies including fault tolerance are evolved. World representation; domain ontologies; and knowledge representation are brought out as important determinants of error control. A fault tolerance design based on goal hierarchy is suggested.,2006,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6768566,no
Decade experience of the ecological risk assessment for water ecosystem and human population in Russia,Generalization of environmental risk applications as an integral safety criterion for water ecosystems and human population shows good promise of this approach to local and regional level environmental quality assessment. The major advantage of the environmental risk assessment approach is the timely detection of negative environmental quality trends prior to the toxic substance concentration reaching the maximum permissible concentration in water and air. The existing models of spatial and temporal water poisonous material concentration variation do not provide for authentic results due to their erroneous axiomatic assumptions. A new concept has been suggested for environmental risk assessment for marine ecosystems and human population due to dumped chemical weapons. Implementation of this new concept requires: Actual data on the effect of short-term biogeochemical processes on the behavior of poisonous materials and their decay products both in the water and at its boundaries with seabed deposits and the air; Software package for assessing the effect of nonlinear processes on poisonous material decay and transport rates in seabed water systems.,2006,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7266163,no
Software Reliability Measurement and Prediction,This chapter contains sections titled: <br> Why Study and Measure Software Reliability? <br> What Is Reliability? <br> Faults and Failures <br> Failure Severity Classes <br> Failure Intensity <br> The Cost of Reliability <br> Software Reliability Theory <br> Reliability Models <br> Failure Arrival Rates <br> But When Do I Ship? <br> System Configurations: Probability and Reliability <br> Answers to Initial Question <br> Summary <br> Problems <br> Project <br> References,2006,http://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=5989154.pdf&bkn=5988896&pdfType=chapter,no
References,All organizations today confront data quality problems; both systemic and structural. Neither ad hoc approaches nor fixes at the systems level--installing the latest software or developing an expensive data warehouse--solve the basic problem of bad data quality practices. Journey to Data Quality offers a roadmap that can be used by practitioners; executives; and students for planning and implementing a viable data and information quality management program. This practical guide; based on rigorous research and informed by real-world examples; describes the challenges of data management and provides the principles; strategies; tools; and techniques necessary to meet them.The authors; all leaders in the data quality field for many years; discuss how to make the economic case for data quality and the importance of getting an organization's leaders on board. They outline different approaches for assessing data; both subjectively (by users) and objectively (using sampling and other techniques). They describe real problems and solutions; including efforts to find the root causes of data quality problems at a healthcare organization and data quality initiatives taken by a large teaching hospital. They address setting company policy on data quality and; finally; they consider future challenges on the journey to data quality.,2006,http://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=6290109.pdf&bkn=6267297&pdfType=chapter,no
Index,All organizations today confront data quality problems; both systemic and structural. Neither ad hoc approaches nor fixes at the systems level--installing the latest software or developing an expensive data warehouse--solve the basic problem of bad data quality practices. Journey to Data Quality offers a roadmap that can be used by practitioners; executives; and students for planning and implementing a viable data and information quality management program. This practical guide; based on rigorous research and informed by real-world examples; describes the challenges of data management and provides the principles; strategies; tools; and techniques necessary to meet them.The authors; all leaders in the data quality field for many years; discuss how to make the economic case for data quality and the importance of getting an organization's leaders on board. They outline different approaches for assessing data; both subjectively (by users) and objectively (using sampling and other techniques). They describe real problems and solutions; including efforts to find the root causes of data quality problems at a healthcare organization and data quality initiatives taken by a large teaching hospital. They address setting company policy on data quality and; finally; they consider future challenges on the journey to data quality.,2006,http://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=6290110.pdf&bkn=6267297&pdfType=chapter,no
A Unified Framework for Defect Data Analysis Using the MBR Technique,Failures of mission-critical software systems can have catastrophic consequences and; hence; there is strong need for scientifically rigorous methods for assuring high system reliability. To reduce the V&V cost for achieving high confidence levels; quantitatively based software defect prediction techniques can be used to effectively estimate defects from prior data. Better prediction models facilitate better project planning and risk/cost estimation. Memory based reasoning (MBR) is one such classifier that quantitatively solves new cases by reusing knowledge gained from past experiences. However; it can have different configurations by varying its input parameters; giving potentially different predictions. To overcome this problem; we develop a framework that derives the optimal configuration of an MBR classifier for software defect data; by logical variation of its configuration parameters. We observe that this adaptive MBR technique provides a flexible and effective environment for accurate prediction of mission-critical software defect data.,2006,http://ieeexplore.ieee.org/document/4031878/,yes
An empirical study of predicting software faults with case-based reasoning,The resources allocated for software quality assurance and improvement have not increased with the ever-increasing need for better software quality. A targeted software quality inspection can detect faulty modules and reduce the number of faults occurring during operations. We present a software fault prediction modeling approach with case-based reasoning (CBR); a part of the computational intelligence field focusing on automated reasoning processes. A CBR system functions as a software fault prediction model by quantifying; for a module under development; the expected number of faults based on similar modules that were previously developed. Such a system is composed of a similarity function; the number of nearest neighbor cases used for fault prediction; and a solution algorithm. The selection of a particular similarity function and solution algorithm may affect the performance accuracy of a CBR-based software fault prediction system. This paper presents an empirical study investigating the effects of using three different similarity functions and two different solution algorithms on the prediction accuracy of our CBR system. The influence of varying the number of nearest neighbor cases on the performance accuracy is also explored. Moreover; the benefits of using metric-selection procedures for our CBR system is also evaluated. Case studies of a large legacy telecommunications system are used for our analysis. It is observed that the CBR system using the Mahalanobis distance similarity function and the inverse distance weighted solution algorithm yielded the best fault prediction. In addition; the CBR models have better performance than models based on multiple linear regression.,2006,http://suraj.lums.edu.pk/~cs661s07/Papers/An percent 20empirical percent 20study percent 20of percent 20predicting percent 20software percent 20faults percent 20with percent 20case-based percent 20reasoning.pdf,yes
Data Mining Static Code Attributes to Learn Defect Predictors,The value of using static code attributes to learn defect predictors has been widely debated. Prior work has explored issues like the merits of ""McCabes versus Halstead versus lines of code counts"" for generating defect predictors. We show here that such debates are irrelevant since how the attributes are used to build predictors is much more important than which particular attributes are used. Also; contrary to prior pessimism; we show that such defect predictors are demonstrably useful and; on the data studied here; yield predictors with a mean probability of detection of 71 percent and mean false alarms rates of 25 percent. These predictors would be useful for prioritizing a resource-bound exploration of code that has yet to be inspected,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4027145,yes
Scene Parsing Using Region-Based Generative Models,Semantic scene classification is a challenging problem in computer vision. In contrast to the common approach of using low-level features computed from the whole scene; we propose ""scene parsing"" utilizing semantic object detectors (e.g.; sky; foliage; and pavement) and region-based scene-configuration models. Because semantic detectors are faulty in practice; it is critical to develop a region-based generative model of outdoor scenes based on characteristic objects in the scene and spatial relationships between them. Since a fully connected scene configuration model is intractable; we chose to model pairwise relationships between regions and estimate scene probabilities using loopy belief propagation on a factor graph. We demonstrate the promise of this approach on a set of over 2000 outdoor photographs; comparing it with existing discriminative approaches and those using low-level features,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4032602,no
Detecting Ventricular Fibrillation by Time-Delay Methods,A pivotal component in automated external defibrillators (AEDs) is the detection of ventricular fibrillation (VF) by means of appropriate detection algorithms. In scientific literature there exists a wide variety of methods and ideas for handling this task. These algorithms should have a high detection quality; be easily implementable; and work in realtime in an AED. Testing of these algorithms should be done by using a large amount of annotated data under equal conditions. For our investigation we simulated a continuous analysis by selecting the data in steps of 1 s without any preselection. We used the complete BIH-MIT arrhythmia database; the CU database; and files 7001-8210 of the AHA database. For a new VF detection algorithm we calculated the sensitivity; specificity; and the area under its receiver operating characteristic curve and compared these values with the results from an earlier investigation of several VF detection algorithms. This new algorithm is based on time-delay methods and outperforms all other investigated algorithms,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4034001,no
Reliable Effects Screening: A Distributed Continuous Quality Assurance Process for Monitoring Performance Degradation in Evolving Software Systems,Developers of highly configurable performance-intensive software systems often use in-house performance-oriented ""regression testing"" to ensure that their modifications do not adversely affect their software's performance across its large configuration space. Unfortunately; time and resource constraints can limit in-house testing to a relatively small number of possible configurations; followed by unreliable extrapolation from these results to the entire configuration space. As a result; many performance bottlenecks escape detection until systems are fielded. In our earlier work; we improved the situation outlined above by developing an initial quality assurance process called ""main effects screening"". This process 1) executes formally designed experiments to identify an appropriate subset of configurations on which to base the performance-oriented regression testing; 2) executes benchmarks on this subset whenever the software changes; and 3) provides tool support for executing these actions on in-the-field and in-house computing resources. Our initial process had several limitations; however; since it was manually configured (which was tedious and error-prone) and relied on strong and untested assumptions for its accuracy (which made its use unacceptably risky in practice). This paper presents a new quality assurance process called ""reliable effects screening"" that provides three significant improvements to our earlier work. First; it allows developers to economically verify key assumptions during process execution. Second; it integrates several model-driven engineering tools to make process configuration and execution much easier and less error prone. Third; we evaluate this process via several feasibility studies of three large; widely used performance-intensive software frameworks. Our results indicate that reliable effects screening can detect performance degradation in large-scale systems more reliably and with significantly less resources than conventional t- echniques,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4052587,no
PocketPad: Using Handhelds and Digital Pens to Manage Data in Mobile Contexts,PocketPad is an information management system geared toward university students. The system is designed to support the capture; storage; browsing; editing and organization of handwritten notes via the complementary use of digital pens to capture information; handheld computers to browse and store prior information; and digital pens and handheld computers in combination to edit and organize information. Desktop computer software synchronizes the information from the digital pen and Pocket PC during editing and reorganization. Through the combined use of different hardware components supported by our software; we describe a system that bridges the paper-electronic information divide in mobile contexts. The system relies on human-in-the-loop techniques coupled with stroke timing to simplify coordination of content from different sources; rather than resorting to complex and often error-prone computer document recognition algorithms.,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4063774,no
An Effective PSO-Based Memetic Algorithm for Flow Shop Scheduling,This paper proposes an effective particle swarm optimization (PSO)-based memetic algorithm (MA) for the permutation flow shop scheduling problem (PFSSP) with the objective to minimize the maximum completion time; which is a typical non-deterministic polynomial-time (NP) hard combinatorial optimization problem. In the proposed PSO-based MA (PSOMA); both PSO-based searching operators and some special local searching operators are designed to balance the exploration and exploitation abilities. In particular; the PSOMA applies the evolutionary searching mechanism of PSO; which is characterized by individual improvement; population cooperation; and competition to effectively perform exploration. On the other hand; the PSOMA utilizes several adaptive local searches to perform exploitation. First; to make PSO suitable for solving PFSSP; a ranked-order value rule based on random key representation is presented to convert the continuous position values of particles to job permutations. Second; to generate an initial swarm with certain quality and diversity; the famous Nawaz-Enscore-Ham (NEH) heuristic is incorporated into the initialization of population. Third; to balance the exploration and exploitation abilities; after the standard PSO-based searching operation; a new local search technique named NEH_1 insertion is probabilistically applied to some good particles selected by using a roulette wheel mechanism with a specified probability. Fourth; to enrich the searching behaviors and to avoid premature convergence; a simulated annealing (SA)-based local search with multiple different neighborhoods is designed and incorporated into the PSOMA. Meanwhile; an effective adaptive meta-Lamarckian learning strategy is employed to decide which neighborhood to be used in SA-based local search. Finally; to further enhance the exploitation ability; a pairwise-based local search is applied after the SA-based search. Simulation results based on benchmarks demonstrate the effectiveness of- - the PSOMA. Additionally; the effects of some parameters on optimization performances are also discussed,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4067067,no
TopoLayout: Multilevel Graph Layout by Topological Features,We describe TopoLayout; a feature-based; multilevel algorithm that draws undirected graphs based on the topological features they contain. Topological features are detected recursively inside the graph; and their subgraphs are collapsed into single nodes; forming a graph hierarchy. Each feature is drawn with an algorithm tuned for its topology. As would be expected from a feature-based approach; the runtime and visual quality of TopoLayout depends on the number and types of topological features present in the graph. We show experimental results comparing speed and visual quality for TopoLayout against four other multilevel algorithms on a variety of data sets with a range of connectivities and sizes. TopoLayout frequently improves the results in terms of speed and visual quality on these data sets,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4069239,no
The Impact of National Culture and Social Pr esence on Trust and Communication Quality within Collabor ative Groups,In this empirical study we examine the impact of national culture and social presence on interpersonal trust in both culturally homogeneous and heterogeneous groups. Results demonstrate that interpersonal trust is higher in homogeneous; low-individualism groups (represented by Chinese participants) than that in homogeneous; high-individualism groups (represented by U.S. participants); however; interpersonal trust in heterogeneous groups is lower for low-individualism than high-individualism group members. It is also found that social presence has a positive impact on interpersonal trust; however; a difference in social presence between groups supported by two collaborative technologies is not detected. In addition; perceived communication quality is reported highest in face-to-face (FtF) groups without the support of collaborative software (CS); followed by FtF; CS-supported groups; and then virtual; CS groups. These findings have important implications for trust building in global groups as well as for the design of collaborative technologies in support of virtual groups,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4076392,no
Agent-based Human-computer-interaction for Real-time Monitoring Systems in the Trucking Industry,Auto ID systems can replace time-consuming; costly and error-prone processes of human data entry and produce detailed real time information. However; they would add value only to the extent that data is presented in a user-friendly manner. As model-based decision support is not always adequate; an agent-based approach is often chosen. Real life entities such as orders and trucks are represented by agents; which negotiate in order to solve planning problems. For the respective data representation at least two forms can be distinguished; focusing either on (1) resources (account-based) or (2) orders (order-centric). Applying cognitive fit theory we describe how the different interfaces affect decision making. The hypotheses would be tested in a laboratory experiment. The intended contribution should support that order-centric interfaces have higher user-friendliness and are especially beneficial to low-analytics and planners working under time pressure,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4076424,no
Ontology Driven Requirements Query,Use cases are commonly used to represent customers' requirements during systems development. In a large software development environment; finding a relevant use case from a large use case library created in the past or related projects is a complex; error-prone and expensive task. Based on the semantic Web approach; we propose an ontological methodology to support this task. We use ontology to augment use cases with semantic information. This ontology is derived from ResearchCyc ontology. We also propose the augmentation of queries used to retrieve use cases with this ontology. We present this approach to better capture; reuse and query use cases,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4076779,no
Using Online Competitor's Inventory Information for Pricing,Information displayed on an e-commerce site can be used not just by the intended customers but also by competitors. In the paper; we examine the effect of such proactive information use in the setting of e-commerce retailing where duopoly e-tailers set their prices of a commodity that is in short supply. While e-tailers enhance their service quality by making stockout information available online; that inventory information could also be used by competitors to determine their prices. Each e-tailer can launch software agents to detect its competitor's inventory position and make its price decision contingent on that position. We show that when customer reservation value is relatively high; and e-tailers do not resemble each other in terms of fill rate; both e-tailers choose to adopt the software agent technology and price dynamically at equilibrium. The high availability e-tailer can charge higher prices and enjoy a higher profit level than the low availability e-tailer. More customers prefer to visit the high fill rate e-tailer first under the dynamic pricing scheme than under the static pricing scheme. Because total search costs are reduced; social welfare is improved under the new dynamic pricing scheme,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4076803,no
Reconciling Manual and Automated Testing: The AutoTest Experience,Software can be tested either manually or automatically. The two approaches are complementary: automated testing can perform a large number of tests in little time; whereas manual testing uses the knowledge of the testing engineer to target testing to the parts of the system that are assumed to be more error-prone. Despite this complementarity; tools for manual and automatic testing are usually different; leading to decreased productivity and reliability of the testing process. AutoTest is a testing tool that provides a ""best of both worlds"" strategy: it integrates developers' test cases into an automated process of systematic contract-driven testing. This allows it to combine the benefits of both approaches while keeping a simple interface; and to treat the two types of tests in a unified fashion: evaluation of results is the same; coverage measures are added up; and both types of tests can be saved in the same format,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4076909,no
An Innovative Approach to Tackling the Boundary Effect in Adaptive Random Testing,Adaptive random testing (ART) is an effective improvement of random testing (RT) in the sense that fewer test cases are needed to detect the first failure. It is based on the observation that failure-causing inputs are normally clustered in one or more contiguous regions in the input domain. Hence; it has been proposed that test case generation should refer to the locations of successful test cases (those that do not reveal failures) to ensure that all test cases are far apart and evenly spread in the input domain. Distance-based ART and restricted random testing are the first two previous attempts. However; test cases generated by these attempts are far apart but not necessarily evenly spread; since more test cases are generated near the boundary of the input domain. This paper analyzes the cause of this phenomenon and proposes an enhanced implementation based on the concept of virtual images of the successful test cases. The results of simulations show that the test cases generated by our enhanced implementation are not only far apart but also evenly spread in the input domain. Furthermore; the fault detection capability of ART for high-dimensional input domains is also enhanced,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4076912,no
POSAML: A Visual Modeling Framework for Middleware Provisioning,Effective provisioning of next generation distributed applications hosted on diverse middleware platforms incurs significant challenges due to the applications' growing complexity and quality of service (QoS) requirements. An effective provisioning of the middleware platform includes a composition and configuration of the middleware services that meets the application QoS requirements under expected workloads. Traditional techniques for middleware provisioning tend to use non-intuitive; low-level and technology-specific approaches; which are tedious; error prone; non-reusable and not amenable to ease of QoS validation. Additionally; most often the configuration activities of the middleware platform tend to be decoupled from the QoS validation stages resulting in an iterative trial-and-error process between the two phases. This paper describes the design of a visual modeling language called POSAML (patterns oriented software architecture modeling language) and associated tools that provide an intuitive; higher level and unified framework for provisioning middleware platforms. POSAML provides visual modeling capabilities for middleware-independent provisioning while allowing automated middleware-specific QoS validation,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4076969,no
Inside Architecture Evaluation: Analysis and Representation of Optimization Potential,The share of software in embedded systems has been growing permanently in the recent years. Thus; software architecture as well as its evaluation has become an important part of embedded systems design to define; assess; and assure architecture and system quality. Furthermore; design space exploration can be based on architecture evaluation. To achieve an efficient exploration process; architectural decisions need to be well considered. In this paper; analysis of architecture evaluation is performed to uncover dependencies of the quality attributes which are the first class citizens of architecture evaluation. With an explicit representation of such dependencies; valuable changes of an architecture can be calculated. Next to the exploration support; the analysis results help to document architecture knowledge and make architectural decisions explicit and traceable. The development process can now be based on dependable and well documented architectural decisions. Effects of changes become more predictable. Time and costs can be saved by avoiding suboptimal changes.,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4077020,no
Constructing a Reading Guide for Software Product Audits,Architectural knowledge is reflected in various artifacts of a software product. In the case of a software product audit this architectural knowledge needs to be uncovered and its effects assessed; in order to evaluate the quality of the software product. A particular problem is to find and comprehend the architectural knowledge that resides in the software product documentation. The amount of documents; and the differences in for instance target audience and level of abstraction; make it a difficult job for the auditors to find their way through the documentation. This paper discusses how the use of a technique called latent semantic analysis can guide the auditors through the documentation to the architectural knowledge they need. Using latent semantic analysis; we effectively construct a reading guide for software product audits.,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4077028,no
A Comparison of Static Architecture Compliance Checking Approaches,The software architecture is one of the most important artifacts created in the lifecycle of a software system. It enables; facilitates; hampers; or interferes directly the achievement of business goals; functional and quality requirements. One instrument to determine how adequate the architecture is for its intended usage is architecture compliance checking. This paper compares three static architecture compliance checking approaches (reflexion models; relation conformance rules; and component access rules) by assessing their applicability in 13 distinct dimensions. The results give guidance on when to use which approach.,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4077029,no
Software Effort; Quality; and Cycle Time: A Study of CMM Level 5 Projects,The Capability Maturity Model (CMM) has become a popular methodology for improving software development processes with the goal of developing high-quality software within budget and planned cycle time. Prior research literature; while not exclusively focusing on CMM level 5 projects; has identified a host of factors as determinants of software development effort; quality; and cycle time. In this study; we focus exclusively on CMM level 5 projects from multiple organizations to study the impacts of highly mature processes on effort; quality; and cycle time. Using a linear regression model based on data collected from 37 CMM level 5 projects of four organizations; we find that high levels of process maturity; as indicated by CMM level 5 rating; reduce the effects of most factors that were previously believed to impact software development effort; quality; and cycle time. The only factor found to be significant in determining effort; cycle time; and quality was software size. On the average; the developed models predicted effort and cycle time around 12 percent and defects to about 49 percent of the actuals; across organizations. Overall; the results in this paper indicate that some of the biggest rewards from high levels of process maturity come from the reduction in variance of software development outcomes that were caused by factors other than software size,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4084133,no
Fighting bugs: remove; retry; replicate; and rejuvenate,Even if software developers don't fully understand the faults or know their location in the code; software rejuvenation can help avoid failures in the presence of aging-related bugs. This is good news because reproducing and isolating an aging-related bug can be quite involved; similar to other Mandelbugs. Moreover; monitoring for signs of software aging can even help detect software faults that were missed during the development and testing phases. If; on the other hand; a developer can detect a specific aging-related bug in the code; fixing it and distributing a software update might be worthwhile. In the case of the Patriot missile-defense system; a modified version of the software was indeed prepared and deployed to users. It arrived at Dhahran on 26 February 1991 - a day after the fatal incident.,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4085640,no
Generalized Discrete Software Reliability Modeling With Effect of Program Size,Generalized methods for software reliability growth modeling have been proposed so far. But; most of them are on continuous-time software reliability growth modeling. Many discrete software reliability growth models (SRGM) have been proposed to describe a software reliability growth process depending on discrete testing time such as the number of days (or weeks); the number of executed test cases. In this paper; we discuss generalized discrete software reliability growth modeling in which the software failure-occurrence times follow a discrete probability distribution. Our generalized discrete SRGMs enable us to assess software reliability in consideration of the effect of the program size; which is one of the influential factors related to the software reliability growth process. Specifically; we develop discrete SRGMs in which the software failure-occurrence times follow geometric and discrete Rayleigh distributions; respectively. Moreover; we derive software reliability assessment measures based on a unified framework for discrete software reliability growth modeling. Additionally; we also discuss optimal software release problems based on our generalized discrete software reliability growth modeling. Finally; we show numerical examples of software reliability assessment by using actual fault-counting data,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4100777,no
Software Quality Analysis of Unlabeled Program Modules With Semisupervised Clustering,Software quality assurance is a vital component of software project development. A software quality estimation model is trained using software measurement and defect (software quality) data of a previously developed release or similar project. Such an approach assumes that the development organization has experience with systems similar to the current project and that defect data are available for all modules in the training data. In software engineering practice; however; various practical issues limit the availability of defect data for modules in the training data. In addition; the organization may not have experience developing a similar system. In such cases; the task of software quality estimation or labeling modules as fault prone or not fault prone falls on the expert. We propose a semisupervised clustering scheme for software quality analysis of program modules with no defect data or quality-based class labels. It is a constraint-based semisupervised clustering scheme that uses k-means as the underlying clustering algorithm. Software measurement data sets obtained from multiple National Aeronautics and Space Administration software projects are used in our empirical investigation. The proposed technique is shown to aid the expert in making better estimations as compared to predictions made when the expert labels the clusters formed by an unsupervised learning algorithm. In addition; the software quality knowledge learnt during the semisupervised process provided good generalization performance for multiple test data sets. An analysis of program modules that remain unlabeled subsequent to our semisupervised clustering scheme provided useful insight into the characteristics of their software attributes,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4100780,yes
Systematic t-Unidirectional Error-Detecting Codes over Zm,Some new classes of systematic t-unidirectional error-detecting codes over Z<sub>m</sub> are designed. It is shown that the constructed codes can detect two errors using two check digits. Furthermore; the constructed codes can detect up to m<sup>r-2</sup> + r-2 errors using r ges 3 check bits. A bound on the maximum number of detectable errors using r check digits is also given.,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4118666,no
An Operation-Centered Approach to Fault Detection in Symmetric Cryptography Ciphers,One of the most effective ways of attacking a cryptographic device is by deliberate fault injection during computation; which allows retrieving the secret key with a small number of attempts. Several attacks on symmetric and public-key cryptosystems have been described in the literature and some dedicated error-detection techniques have been proposed to foil them. The proposed techniques are ad hoc ones and exploit specific properties of the cryptographic algorithms. In this paper; we propose a general framework for error detection in symmetric ciphers based on an operation-centered approach. We first enumerate the arithmetic and logic operations included in the cipher and analyze the efficacy and hardware complexity of several error-detecting codes for each such operation. We then recommend an error-detecting code for the cipher as a whole based on the operations it employs. We also deal with the trade-off between the frequency of checking for errors and the error coverage. We demonstrate our framework on a representative group of 11 symmetric ciphers. Our conclusions are supported by both analytical proofs and extensive simulation experiments,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4118667,no
Interactive Image Repair with Assisted Structure and Texture Completion,Removing image defects in an undetectable manner has been studied for its many useful and varied applications. In many cases the desired result may be ambiguous from the image data alone and needs to be guided by a user's knowledge of the intended result. This paper presents a framework for interactively incorporating user guidance into the filling-in process; more effectively using user input to fill in damaged regions in an image. This framework contains five main steps: first; the scratch or defect is detected; second; the edges outside the defect are detected; third; curves are fit to the detected edges; fourth; the structure is completed across the damaged region; and finally; texture synthesis constrained by the previously computed curves is used to fill in the intensities in the damaged region. Scratch detection; structure completion; and texture synthesis are influenced or guided by user input when given. Results include removal of defects from images that contain structure; texture; or both structure and texture. Users can complete images with ambiguous structure in multiple ways by gesturing the cursor in the direction of the desired structure completion,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4118740,no
Adaptive runtime fault management for service instances in component-based software applications,The Trust4All project aims to define an open; component-based framework for the middleware layer in high-volume embedded appliances that enables robust and reliable operation; upgrading and extension. To improve the availability of each individual application in a Trust4All system; a runtime configurable fault management mechanism (FMM) is proposed; which detects deviations from given service specifications by intercepting interface calls. When repair is necessary; FMM picks a repair action that incurs the best tradeoff between the success rate and the cost of repair. Considering that it is rather difficult to obtain sufficient information about third party components during their early stage of usage; FMM is designed to be able to accumulate knowledge and adapts its capability accordingly,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4124010,no
Early Software Reliability Prediction Using Cause-effect Graphing Analysis,Early prediction of software reliability can help organizations make informed decisions about corrective actions. To provide such early prediction; we propose practical methods to: 1) systematically identify defects in a software requirements specification document using a technique derived from cause-effect graphing analysis (CEGA); 2) assess the impact of these defects on software reliability using a recursive algorithm based on binary decision diagram (BDD) technique. Using a numerical example; we show how predicting software reliability at the requirement analysis stage could be greatly facilitated by the use of the method presented in this paper. The acronyms used throughout this paper are alphabetically listed as follows: ACEG-actually implemented cause effect graph; BCEG-benchmark cause effect graph; BDD-binary decision diagram; CEGA-cause effect graphing analysis; PACS-personal access control system; SRS-software requirements specification document,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4126345,no
On The Development Of Fault Injection Profiles,The impact of hardware failures on software has attracted substantial attention in the study of dependable systems. Fault injection techniques have emerged as a major means to evaluate software behavior in the presence of hardware failures. However; due to the lack of knowledge of the fault distribution information; the fault location and time are randomly selected. One major drawback of this approach is that the injected faults do not represent the system's operational situation; thus software reliability cannot be credibly assessed. This paper aims at extending the use of fault injection to the reliability prediction of hardware faults. To do so; we have developed a set of analytical and simulation based methods capable of statistically reproducing the underlying physics and phenomena leading to hardware failures in a given system operational context. Such distributions are referred to as fault injection profiles; and are the basis to extend the fault injection technique with fault models that represent the actual conditions under which hardware faults occur,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4126354,no
Assessing Diagnostic Techniques for Fault Tolerance in Software,One of the main concerns in software safety critical applications is to ensure sufficient reliability if one cannot prove the absence of faults. Fault tolerance (FT) provides a plausible method for improving reliability claims in the presence of systematic failures in software. It is plausible that some software FT techniques offer increased protection than others. However; the extent of claims that can be made for different FT software architectures remains unclear. We investigate an approach to FT that integrates data diversity (DD) assertions and traditional assertions (TA). We also present the principles of a method to assess the effectiveness of the approach. The aim of this approach is to make it possible to evolve more powerful FT and thereby improve reliability. This is a step towards the aim of understanding the effectiveness of FT safety-critical applications and thus making it easier to use FT in safety arguments,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4126355,no
